readout_error_prob,energy_noisy,energy_mitigated,error_noisy,error_mitigated
0.0,-1.1202054003906252,-1.1202054003906252,0.01706859960937468,0.01706859960937468
0.01,-1.1227020190429688,-1.1370173924337355,0.01457198095703105,0.00025660756626444403
0.02,-1.1089874194335938,-1.1418193390401203,0.028286580566406094,0.004545339040120444
0.03,-1.0954243920898437,-1.1336604350256585,0.04184960791015624,0.003613564974341399
0.04,-1.0710164916992189,-1.1354955737535446,0.06625750830078103,0.0017784262464553002
0.05,-1.0662705981445313,-1.1442848033613042,0.0710034018554686,0.00701080336130433
